,Unnamed: 0,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age,CO2(g/km),Total CO2 Emission (g),CO2(g/hour)
19,19.0,A1148,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8047.0,,14.38611102,10.12694,mileage,17,272.7826313892652,2195081.834789417,
20,20.0,A1149,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8616.0,,216.803339,18.28138,mileage,17,272.7826313892652,2350295.152049909,
21,21.0,A1150,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2008,NATIONAL YD. (701 NATIONAL),15664.0,,109.7511112,26.14138,mileage,17,272.7826313892652,4272867.13808145,
22,22.0,A1151,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),5286.0,,11.16749998,8.5964,mileage,17,272.7826313892652,1441928.9895236557,
23,23.0,A1152,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6238.0,,71.85694498,12.80166,mileage,17,272.7826313892652,1701618.0546062363,
24,24.0,A1153,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),8201.0,,28.0480555,18.67054,mileage,17,272.7826313892652,2237090.360023364,
25,29.0,A1236,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),9451.0,,35.3675005,6.70805,mileage,12,227.79524525581917,2152892.862912747,
26,30.0,A1237,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),12699.0,,63.84499961,17.74113,mileage,12,227.79524525581917,2892771.8195036477,
27,31.0,A1238,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),6411.0,,96.84888477,14.0,mileage,12,201.69759031652728,1293083.2515192565,
28,32.0,A1239,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),7756.0,,51.5433327,8.57806,mileage,12,201.69759031652728,1564366.5104949856,
29,38.0,A1613,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2004,NATIONAL YD. (701 NATIONAL),8821.0,,48.81888851,22.58886,mileage,21,272.7826313892652,2406215.5914847082,
30,39.0,A1614,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2003,NATIONAL YD. (701 NATIONAL),6616.0,,81.28138787,31.55998,mileage,22,272.7826313892652,1804729.8892713785,
31,40.0,A1620,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F150,1999,NATIONAL YD. (701 NATIONAL),4758.0,,86.48111083,10.97415,mileage,26,272.7826313892652,1297899.7601501239,
32,41.0,A1633,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,GM,2500,2003,NATIONAL YD. (701 NATIONAL),10535.0,,38.74111211,21.64832,mileage,22,272.7826313892652,2873765.021685909,
33,42.0,A1645,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2003,NATIONAL YD. (701 NATIONAL),3811.0,,10.08138883,7.66278,mileage,22,272.7826313892652,1039574.6082244896,
34,44.0,A1650,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2003,NATIONAL YD. (701 NATIONAL),12685.0,,62.11805612,23.49807,mileage,22,272.7826313892652,3460247.679172829,
35,45.0,A1651,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),14319.0,911.0,325.2691677,36.75359,mileage,17,272.7826313892652,3905974.498862888,
36,46.0,A1652,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8118.0,,186.6805563,37.5425,mileage,17,272.7826313892652,2214449.4016180546,
37,49.0,A1901,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),2596.0,,158.3297224,15.8864,mileage,17,272.7826313892652,708143.7110865325,
38,50.0,A1904,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),4681.0,,112.8711117,23.18388,mileage,17,272.7826313892652,1276895.4975331503,
39,51.0,A1921,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FOCUS,2006,EVANS YARD (955 EVANS AVE.),19984.0,,34.49055481,6.35945,mileage,19,272.7826313892652,5451288.105683075,
40,52.0,A1922,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),1414.0,,45.27694392,7.73361,mileage,19,272.7826313892652,385714.640784421,
41,53.0,A1923,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,CITY VEH. PRKG. E. WING (10TH),5856.0,,264.0366671,6.42194,mileage,19,272.7826313892652,1597415.089415537,
42,54.0,A1924,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3318.0,,13.75083315,3.91138,mileage,19,272.7826313892652,905092.7709495819,
43,55.0,A1925,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3937.0,,51.54666734,12.48639,mileage,19,272.7826313892652,1073945.219779537,
44,57.0,A1993,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F350,2005,MANITOBA YD. (250 W. 70TH),1977.0,,141.5069455,39.19417,mileage,20,272.7826313892652,539291.2622565773,
45,58.0,A1996,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,RANGER,2010,MANITOBA YD. (250 W. 70TH),11237.0,,82.09722185,32.34889,mileage,15,260.97654939291886,2932593.4855282293,
46,60.0,A2526,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2001,MANITOBA YD. (250 W. 70TH),6692.0,,200.9422285,31.70695,mileage,24,272.7826313892652,1825461.3692569626,
47,61.0,A5078,"VAN, 1TON, CUBE BODY",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,E350,2001,CAMBIE ST.STATION(2120 CAMBIE),3189.0,,173.6986086,6.70778,mileage,24,272.7826313892652,869903.8115003667,
48,62.0,A5213,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD UNSPECIFIED,FORD,ECONOLINE,2002,FALSE CREEK CC (1318 CARTWRIGHT),219.0,,288.8447224,13.64028,mileage,23,272.7826313892652,59739.39627424908,
49,63.0,A5347,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2000,EVANS YARD (955 EVANS AVE.),4238.0,,117.4574997,20.55612,mileage,25,272.7826313892652,1156052.791827706,
50,64.0,A5383,"VAN, PANEL, COMPACT",light duty,Vancouver Public Library,LIBRARY,GM,ASTRO,2005,VPL CENTRAL (350 W GEORGIA),4511.0,,49.54833138,9.785,mileage,20,272.7826313892652,1230522.4501969754,
51,65.0,A5401,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,GM,UPLANDER,2006,CAMBIE ST.STATION(2120 CAMBIE),2529.0,,118.0230546,30.5164,mileage,19,272.7826313892652,689867.2747834517,
52,66.0,A5421,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2007,NATIONAL YD. (701 NATIONAL),11573.0,,18.34305558,1.82805,mileage,18,272.7826313892652,3156913.393067966,
53,67.0,A5480,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F150,2008,EVANS YARD (955 EVANS AVE.),10116.0,,37.36861145,21.88082,mileage,17,272.7826313892652,2759469.099133807,
54,71.0,A5514,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,GM,SILVERADO,2013,EVANS YARD (955 EVANS AVE.),7098.0,,1.388333321,0.53528,mileage,12,224.4398324779102,1593073.9309282065,
55,72.0,A5534,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,TRANSIT CONNECT,2010,EVANS YARD (955 EVANS AVE.),4646.0,,37.99194479,6.90028,mileage,15,260.97654939291886,1212497.048479501,
56,73.0,A5547,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),17428.0,,42.24833417,23.72637,mileage,15,260.97654939291886,4548299.302819789,
57,74.0,A5548,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),6427.0,,35.4425,5.71167,mileage,17,272.7826313892652,1753173.9719388073,
58,75.0,A5549,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),4795.0,,37.17722243,15.73889,mileage,15,260.97654939291886,1251382.554339046,
59,76.0,A5550,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,MANITOBA YD. (250 W. 70TH),6730.0,,50.62527749,15.65249,mileage,15,260.97654939291886,1756372.177414344,
60,77.0,A5551,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),11504.0,,132.7355556,3.15835,mileage,15,260.97654939291886,3002274.2242161385,
61,78.0,A5626,"VAN, PANEL, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,TRANSIT CONNECT,2011,STANLEY PARK SERVICE YD.,12481.0,,17.01861129,14.10304,mileage,14,249.91611468055228,3119203.027327973,
62,80.0,A5632,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,TRANSIT CONNECT,2012,MANITOBA YD. (250 W. 70TH),12599.0,,13.10722229,7.06972,mileage,13,238.8556799681857,3009342.7119191717,
63,81.0,A5634,"AUTO, PASSENGER, COMPACT WAGON",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,FOCUS,2013,EVANS YARD (955 EVANS AVE.),15822.0,,1.455555558,1.19528,mileage,12,227.79524525581917,3604176.370437571,
64,82.0,A7530,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),10910.0,,142.638334,21.79416,mileage,22,272.7826313892652,2976058.508456883,
65,83.0,A7533,"TRUCK, PICKUP, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),9596.0,,360.9555483,8.30806,mileage,22,272.7826313892652,2617622.1308113886,
66,84.0,A7540,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2000,STANLEY PARK SERVICE YD - DOWNTOWN,6592.0,,18.75638902,15.90499,mileage,25,272.7826313892652,1798183.1061180362,
67,85.0,A7541,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2003,STANLEY PARK SERVICE YD - DOWNTOWN,4852.0,,131.8094416,15.08113,mileage,22,272.7826313892652,1323541.3275007147,
68,86.0,A7568,"VAN, PANEL, COMPACT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,GM,ASTRO,2005,STANLEY PARK SERVICE YD.,25376.0,,253.3408344,39.35055,mileage,20,272.7826313892652,6922132.054133994,
69,87.0,A7583,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F150,2005,STANLEY PARK SERVICE YD.,7128.0,,165.6088918,23.4347,mileage,20,272.7826313892652,1944394.5965426823,
70,88.0,A7585,"AUTO, PASSENGER, MICRO COMPACT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,SMART,FORTWO COUPE,2005,STANLEY PARK ADMIN(2099 BEACH),3970.0,,15.45472229,7.06862,mileage,20,272.7826313892652,1082947.046615383,
71,89.0,A7620,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),5888.0,,25.07305634,1.00028,mileage,22,272.7826313892652,1606144.1336199935,
72,90.0,A7629,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4422.0,,25.24888873,1.9189,mileage,22,272.7826313892652,1206244.7960033307,
73,91.0,A7630,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7570.0,,50.47583348,7.65668,mileage,22,272.7826313892652,2064964.5196167375,
74,92.0,A7646,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),3028.0,,66.73000032,5.3139,mileage,22,272.7826313892652,825985.807846695,
75,93.0,A7647,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4295.0,,155.6419411,48.24028,mileage,22,272.7826313892652,1171601.401816894,
76,94.0,A7648,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),10313.0,,127.0805552,18.44804,mileage,22,272.7826313892652,2813207.277517492,
77,95.0,A7649,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7444.0,,204.3302866,16.94862,mileage,22,272.7826313892652,2030593.9080616902,
78,96.0,A7651,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),11739.0,,64.70888877,21.70666,mileage,22,272.7826313892652,3202195.309878584,
79,97.0,A8480,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,TAURUS SE,2003,MANITOBA YD. (250 W. 70TH),3525.0,,99.09167147,6.53611,mileage,22,272.7826313892652,961558.7756471598,
80,98.0,A8484,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,TAURUS SE,2004,MANITOBA YD. (250 W. 70TH),6597.0,,303.3752746,14.08805,mileage,21,272.7826313892652,1799547.0192749824,
81,99.0,B0010,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,CITY CARPOOL PROGRAM,DODGE,GRAND CARAVAN,2014,MANITOBA YD. (250 W. 70TH),14536.0,,417.7058345,5.91389,mileage,11,195.8566865920191,2846972.7963015893,
82,100.0,B0138,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,SMART,FORTWO COUPE,2005,NATIONAL YD. (701 NATIONAL),3071.0,,431.5847301,19.79304,mileage,20,272.7826313892652,837715.4609964334,
83,101.0,B0140,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1214.0,,3.531666756,0.29139,mileage,12,206.1714740204059,250292.16946077277,
84,102.0,B0141,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FUSION,2006,NATIONAL YD. (701 NATIONAL),5398.0,,60.87638831,9.01139,mileage,19,272.7826313892652,1472480.6442392536,
85,103.0,B0142,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,MERCEDES,SMARTC,2008,NATIONAL YD. (701 NATIONAL),1953.0,,6.878888845,2.49389,mileage,17,272.7826313892652,532744.479103235,
86,104.0,B0150,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2004,CROSSROADS (507 W. BROADWAY),5075.0,,11.22361088,6.70251,mileage,21,272.7826313892652,1384371.8543005208,
87,105.0,B0171,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),10509.0,,334.2855545,18.7236,mileage,17,272.7826313892652,2866672.673269788,
88,106.0,B0194,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),2312.0,,24.48750043,8.23527,mileage,17,272.7826313892652,630673.4437719812,
89,107.0,B0203,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),2899.0,,31.07444435,6.5,mileage,23,272.7826313892652,790796.8483974797,
90,108.0,B0210,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,MITSUBISHI,I MIEV,2012,MANITOBA YD. (250 W. 70TH),19.0,,58.7430563,5.05445,mileage,13,224.4398324779102,4264.356817080294,
91,109.0,B0220,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,NATIONAL YD. (701 NATIONAL),3748.0,,28.1297226,4.20583,mileage,23,272.7826313892652,1022389.302446966,
92,110.0,B0233,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MITSUBISHI,I MIEV,2013,400 BLOCK W. 10TH (CITY HALL),10534.0,,45.96083242,4.97111,mileage,12,206.1714740204059,2171810.3073309558,
93,111.0,B0263,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING SOLID WASTE MNGMNT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),11394.0,,66.03388861,8.40834,mileage,23,272.7826313892652,3108085.3020492876,
94,112.0,B0275,"AUTO, PASSENGER, COMPACT, HYBRID ELEC",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,TOYOTA,PRIUS,2003,NATIONAL YD. (701 NATIONAL),1436.0,,24.45999908,1.95417,mileage,22,245.44223097667367,352455.0436825034,
95,113.0,B0402,"AUTO, PASSENGER, COMPACT",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,FOCUS,2003,CAMBIE ST PARKADE,2141.0,,32.56388885,4.36361,mileage,22,272.7826313892652,584027.6138044167,
96,114.0,B0404,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2007,NATIONAL YD. (701 NATIONAL),8757.0,,72.07277751,20.81808,mileage,18,272.7826313892652,2388757.5030757952,
97,115.0,B0405,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,SMART,FORTWO COUPE,2005,MANITOBA YD. (250 W. 70TH),8531.0,,40.74249983,11.98917,mileage,20,272.7826313892652,2327108.6283818213,
98,116.0,B0448,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,FORD,FOCUS,2006,PARKING ENFORCE.(1125 HOWE ST),1373.0,,66.06305504,10.66027,mileage,19,272.7826313892652,374530.5528974611,
99,117.0,B0469,"VAN, PASSENGER, 10+ PASSENGER",light duty,Community Services Group,COMMUNITY SERVICES GROUP,FORD,E350,2011,CARNEGIE CC (401 MAIN),7615.0,,124.6227784,19.60943,mileage,14,249.91611468055228,1903111.2132924057,
100,118.0,B0470,"VAN, PASSENGER, 10+ PASSENGER",light duty,Community Services Group,COMMUNITY SERVICES GROUP NON-MARKET HOUSING,FORD,E350,2012,E.SALLER CENTRE(320 ALEXENDER),3245.0,,21.84305573,13.96139,mileage,13,238.8556799681857,775086.6814967627,
