,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age
13,A0492,"VAN, MINI, 7 PASSENGER",light duty,Community Services Group,PLANNING,FORD,WINDSTAR,1999,CAMBIE ST PARKADE,373.0,,45.59972215,5.86945,mileage,26
14,A1127,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),7732.0,,86.30277905,31.31225,mileage,17
15,A1131,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),5725.0,,26.9800005,16.52137,mileage,17
16,A1132,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6395.0,,259.0977749,24.79055,mileage,17
17,A1139,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),0.0,,28.09333348,9.06419,mileage,17
18,A1147,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8264.0,,31.91666704,12.14194,mileage,17
19,A1148,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8047.0,,14.38611102,10.12694,mileage,17
20,A1149,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8616.0,,216.803339,18.28138,mileage,17
21,A1150,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2008,NATIONAL YD. (701 NATIONAL),15664.0,,109.7511112,26.14138,mileage,17
22,A1151,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),5286.0,,11.16749998,8.5964,mileage,17
23,A1152,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6238.0,,71.85694498,12.80166,mileage,17
24,A1153,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),8201.0,,28.0480555,18.67054,mileage,17
25,A1203,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),19194.0,1144.0,437.3833289,125.26611,mileage,17
26,A1204,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2006,NATIONAL YD. (701 NATIONAL),3088.0,,200.6963881,47.08251,mileage,19
27,A1205,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2007,NATIONAL YD. (701 NATIONAL),5155.0,,40.55194467,18.69334,mileage,18
28,A1206,"TRUCK, VAN, POWER TAILGATE, SINGLE AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2003,MANITOBA YD. (250 W. 70TH),4396.0,,94.96444428,10.56415,mileage,22
29,A1236,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),9451.0,,35.3675005,6.70805,mileage,12
30,A1237,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),12699.0,,63.84499961,17.74113,mileage,12
31,A1238,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),6411.0,,96.84888477,14.0,mileage,12
32,A1239,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),7756.0,,51.5433327,8.57806,mileage,12
33,A1240,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2005,NATIONAL YD. (701 NATIONAL),3998.0,,257.95528,70.89446,mileage,20
34,A1243,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),7062.0,2.0,452.4097266,124.76694,mileage,17
35,A1244,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2008,NATIONAL YD. (701 NATIONAL),16742.0,,196.1405553,54.44974,mileage,17
36,A1245,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2008,NATIONAL YD. (701 NATIONAL),4785.0,281.0,218.6277771,34.88501,mileage,17
37,A1246,"TRUCK, VAN, POWER TAILGATE, SINGLE AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2008,NATIONAL YD. (701 NATIONAL),8195.0,558.0,413.1058274,69.79892,mileage,17
38,A1613,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2004,NATIONAL YD. (701 NATIONAL),8821.0,,48.81888851,22.58886,mileage,21
39,A1614,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2003,NATIONAL YD. (701 NATIONAL),6616.0,,81.28138787,31.55998,mileage,22
40,A1620,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F150,1999,NATIONAL YD. (701 NATIONAL),4758.0,,86.48111083,10.97415,mileage,26
41,A1633,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,GENERAL MOTORS,2500,2003,NATIONAL YD. (701 NATIONAL),10535.0,,38.74111211,21.64832,mileage,22
42,A1645,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2003,NATIONAL YD. (701 NATIONAL),3811.0,,10.08138883,7.66278,mileage,22
43,A1648,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2003,NATIONAL YD. (701 NATIONAL),2399.0,,1131.733323,58.72638,mileage,22
44,A1650,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2003,NATIONAL YD. (701 NATIONAL),12685.0,,62.11805612,23.49807,mileage,22
45,A1651,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),14319.0,911.0,325.2691677,36.75359,mileage,17
46,A1652,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8118.0,,186.6805563,37.5425,mileage,17
47,A1704,"TRUCK, AERIAL, 40 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2003,NATIONAL YD. (701 NATIONAL),768.0,,47.52472186,14.08613,mileage,22
48,A1708,"TRUCK, AERIAL, 40 FT BOOM, HYBRID ELEC",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106 HYBRID,2010,NATIONAL YD. (701 NATIONAL),3502.0,,221.5541642,42.41388,mileage,15
49,A1901,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),2596.0,,158.3297224,15.8864,mileage,17
50,A1904,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),4681.0,,112.8711117,23.18388,mileage,17
51,A1921,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FOCUS,2006,EVANS YARD (955 EVANS AVE.),19984.0,,34.49055481,6.35945,mileage,19
52,A1922,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),1414.0,,45.27694392,7.73361,mileage,19
53,A1923,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,CITY VEH. PRKG. E. WING (10TH),5856.0,,264.0366671,6.42194,mileage,19
54,A1924,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3318.0,,13.75083315,3.91138,mileage,19
55,A1925,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3937.0,,51.54666734,12.48639,mileage,19
56,A1928,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),8075.0,,67.12777823,9.88361,mileage,23
57,A1993,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F350,2005,MANITOBA YD. (250 W. 70TH),1977.0,,141.5069455,39.19417,mileage,20
58,A1996,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,RANGER,2010,MANITOBA YD. (250 W. 70TH),11237.0,,82.09722185,32.34889,mileage,15
59,A2246,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,STERLING,LT7501,2003,KENT YARD (900 E. KENT),697.0,,83.38027728,30.60919,mileage,22
60,A2526,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2001,MANITOBA YD. (250 W. 70TH),6692.0,,200.9422285,31.70695,mileage,24
61,A5078,"VAN, 1TON, CUBE BODY",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,E350,2001,CAMBIE ST.STATION(2120 CAMBIE),3189.0,,173.6986086,6.70778,mileage,24
62,A5213,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD UNSPECIFIED,FORD,ECONOLINE,2002,FALSE CREEK CC (1318 CARTWRIGHT),219.0,,288.8447224,13.64028,mileage,23
63,A5347,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2000,EVANS YARD (955 EVANS AVE.),4238.0,,117.4574997,20.55612,mileage,25
64,A5383,"VAN, PANEL, COMPACT",light duty,Vancouver Public Library,LIBRARY,GENERAL MOTORS,ASTRO,2005,VPL CENTRAL (350 W GEORGIA),4511.0,,49.54833138,9.785,mileage,20
65,A5401,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,GENERAL MOTORS,UPLANDER,2006,CAMBIE ST.STATION(2120 CAMBIE),2529.0,,118.0230546,30.5164,mileage,19
66,A5421,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2007,NATIONAL YD. (701 NATIONAL),11573.0,,18.34305558,1.82805,mileage,18
67,A5480,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F150,2008,EVANS YARD (955 EVANS AVE.),10116.0,,37.36861145,21.88082,mileage,17
68,A5486,"TRUCK, FLATDECK, LIGHT",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,STERLING,360,2008,EVANS YARD (955 EVANS AVE.),0.0,,302.2122221,2.8825,mileage,17
69,A5489,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,STERLING,BULLET,2008,NATIONAL YD. (701 NATIONAL),2676.0,,311.8997244,17.92803,mileage,17
70,A5490,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),5348.0,586.0,58.11722241,33.50836,mileage,17
71,A5514,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,GMC,SILVERADO,2013,EVANS YARD (955 EVANS AVE.),7098.0,,1.388333321,0.53528,mileage,12
72,A5534,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,TRANSIT CONNECT,2010,EVANS YARD (955 EVANS AVE.),4646.0,,37.99194479,6.90028,mileage,15
73,A5547,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),17428.0,,42.24833417,23.72637,mileage,15
74,A5548,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),6427.0,,35.4425,5.71167,mileage,17
75,A5549,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),4795.0,,37.17722243,15.73889,mileage,15
76,A5550,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,MANITOBA YD. (250 W. 70TH),6730.0,,50.62527749,15.65249,mileage,15
77,A5551,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),11504.0,,132.7355556,3.15835,mileage,15
78,A5626,"VAN, PANEL, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,TRANSIT CONNECT,2011,STANLEY PARK SERVICE YD.,12481.0,,17.01861129,14.10304,mileage,14
79,A5628,"TRUCK, AERIAL, 50 FT PLUS BOOM",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,INTERNATIONAL,4400,2013,EVANS YARD (955 EVANS AVE.),5678.0,,140.7580564,34.18555,mileage,12
80,A5632,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,TRANSIT CONNECT,2012,MANITOBA YD. (250 W. 70TH),12599.0,,13.10722229,7.06972,mileage,13
81,A5634,"AUTO, PASSENGER, COMPACT WAGON",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,FOCUS,2013,EVANS YARD (955 EVANS AVE.),15822.0,,1.455555558,1.19528,mileage,12
82,A7530,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),10910.0,,142.638334,21.79416,mileage,22
83,A7533,"TRUCK, PICKUP, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),9596.0,,360.9555483,8.30806,mileage,22
84,A7540,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2000,STANLEY PARK SERVICE YD - DOWNTOWN,6592.0,,18.75638902,15.90499,mileage,25
85,A7541,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2003,STANLEY PARK SERVICE YD - DOWNTOWN,4852.0,,131.8094416,15.08113,mileage,22
86,A7568,"VAN, PANEL, COMPACT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,GENERAL MOTORS,ASTRO,2005,STANLEY PARK SERVICE YD.,25376.0,,253.3408344,39.35055,mileage,20
87,A7583,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F150,2005,STANLEY PARK SERVICE YD.,7128.0,,165.6088918,23.4347,mileage,20
88,A7585,"AUTO, PASSENGER, MICRO COMPACT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,SMART,FORTWO COUPE,2005,STANLEY PARK ADMIN(2099 BEACH),3970.0,,15.45472229,7.06862,mileage,20
89,A7620,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),5888.0,,25.07305634,1.00028,mileage,22
90,A7629,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4422.0,,25.24888873,1.9189,mileage,22
91,A7630,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7570.0,,50.47583348,7.65668,mileage,22
92,A7646,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),3028.0,,66.73000032,5.3139,mileage,22
93,A7647,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4295.0,,155.6419411,48.24028,mileage,22
94,A7648,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),10313.0,,127.0805552,18.44804,mileage,22
95,A7649,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7444.0,,204.3302866,16.94862,mileage,22
96,A7651,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),11739.0,,64.70888877,21.70666,mileage,22
97,A8480,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,TAURUS SE,2003,MANITOBA YD. (250 W. 70TH),3525.0,,99.09167147,6.53611,mileage,22
98,A8484,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,TAURUS SE,2004,MANITOBA YD. (250 W. 70TH),6597.0,,303.3752746,14.08805,mileage,21
99,B0010,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,CITY CARPOOL PROGRAM,DODGE,GRAND CARAVAN,2014,MANITOBA YD. (250 W. 70TH),14536.0,,417.7058345,5.91389,mileage,11
100,B0138,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,SMART,FORTWO COUPE,2005,NATIONAL YD. (701 NATIONAL),3071.0,,431.5847301,19.79304,mileage,20
101,B0140,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1214.0,,3.531666756,0.29139,mileage,12
102,B0141,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FUSION,2006,NATIONAL YD. (701 NATIONAL),5398.0,,60.87638831,9.01139,mileage,19
103,B0142,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,MERCEDES,SMARTC,2008,NATIONAL YD. (701 NATIONAL),1953.0,,6.878888845,2.49389,mileage,17
104,B0150,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2004,CROSSROADS (507 W. BROADWAY),5075.0,,11.22361088,6.70251,mileage,21
105,B0171,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),10509.0,,334.2855545,18.7236,mileage,17
106,B0194,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),2312.0,,24.48750043,8.23527,mileage,17
107,B0203,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),2899.0,,31.07444435,6.5,mileage,23
108,B0210,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,MITSUBISHI,I MIEV,2012,MANITOBA YD. (250 W. 70TH),19.0,,58.7430563,5.05445,mileage,13
109,B0220,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,NATIONAL YD. (701 NATIONAL),3748.0,,28.1297226,4.20583,mileage,23
110,B0233,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MITSUBISHI,I MIEV,2013,400 BLOCK W. 10TH (CITY HALL),10534.0,,45.96083242,4.97111,mileage,12
111,B0263,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING SOLID WASTE MNGMNT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),11394.0,,66.03388861,8.40834,mileage,23
112,B0275,"AUTO, PASSENGER, COMPACT, HYBRID ELEC",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,TOYOTA,PRIUS,2003,NATIONAL YD. (701 NATIONAL),1436.0,,24.45999908,1.95417,mileage,22
113,B0402,"AUTO, PASSENGER, COMPACT",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,FOCUS,2003,CAMBIE ST PARKADE,2141.0,,32.56388885,4.36361,mileage,22
114,B0404,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2007,NATIONAL YD. (701 NATIONAL),8757.0,,72.07277751,20.81808,mileage,18
115,B0405,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,SMART,FORTWO COUPE,2005,MANITOBA YD. (250 W. 70TH),8531.0,,40.74249983,11.98917,mileage,20
116,B0448,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,FORD,FOCUS,2006,PARKING ENFORCE.(1125 HOWE ST),1373.0,,66.06305504,10.66027,mileage,19
117,B0469,"VAN, PASSENGER, 10+ PASSENGER",light duty,Community Services Group,COMMUNITY SERVICES GROUP,FORD,E350,2011,CARNEGIE CC (401 MAIN),7615.0,,124.6227784,19.60943,mileage,14
118,B0470,"VAN, PASSENGER, 10+ PASSENGER",light duty,Community Services Group,COMMUNITY SERVICES GROUP NON-MARKET HOUSING,FORD,E350,2012,E.SALLER CENTRE(320 ALEXENDER),3245.0,,21.84305573,13.96139,mileage,13
119,B0491,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2002,400 BLOCK W. 10TH (CITY HALL),7986.0,,120.096112,55.20304,mileage,23
120,B1003,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2003,MANITOBA YD. (250 W. 70TH),7355.0,,161.8597221,27.7411,mileage,22
