Equipment Number ,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours)
A0170,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1173,NULL,24.4375,0.17972
A0174,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),8062,NULL,13.93416643,0.20889
A0233,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,MANITOBA YD. (250 W. 70TH),3166,NULL,429.3538866,29.3742
A0311,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MERCEDES,SMARTC,2008,EVANS YARD (955 EVANS AVE.),3773,NULL,297.8261166,24.62613
A0335,"FORKLIFT, LIGHT",hvy equip,Corporate Services Group,FACILITIES - TACTICAL TRAINING CENTRE,TOYOTA,7FBEU18,2009,VPD TRAINING CENTRE (2010 GLEN),NULL,0,48.01277781,3.58641
A0440,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,FINANCE BYLAW FINES,FORD,FOCUS,2007,CITY VEH. PRKG. E. WING (10TH),19222,NULL,63.63222209,14.00695
A0458,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2012,NATIONAL YD. (701 NATIONAL),4124,NULL,229.0691681,0.97833
A0459,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING SANITATION OPER.,MITSUBISHI,I MIEV,2012,MANITOBA YD. (250 W. 70TH),3626,NULL,N/A,N/A
A0492,"VAN, MINI, 7 PASSENGER",light duty,Community Services Group,PLANNING,FORD,WINDSTAR,1999,CAMBIE ST PARKADE,373,NULL,45.59972215,5.86945
A0493,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING YARDS,FORD,TRANSIT CONNECT,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,N/A,N/A
A1127,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),7732,NULL,86.30277905,31.31225
A1131,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),5725,NULL,26.9800005,16.52137
A1132,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6395,NULL,259.0977749,24.79055
A1139,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),0,NULL,28.09333348,9.06419
A1147,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8264,NULL,31.91666704,12.14194
A1148,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8047,NULL,14.38611102,10.12694
A1149,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8616,NULL,216.803339,18.28138
A1150,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2008,NATIONAL YD. (701 NATIONAL),15664,NULL,109.7511112,26.14138
A1151,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),5286,NULL,11.16749998,8.5964
A1152,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6238,NULL,71.85694498,12.80166
A1153,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),8201,NULL,28.0480555,18.67054
A1203,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),19194,1144,437.3833289,125.26611
A1204,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2006,NATIONAL YD. (701 NATIONAL),3088,NULL,200.6963881,47.08251
A1205,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2007,NATIONAL YD. (701 NATIONAL),5155,NULL,40.55194467,18.69334
A1206,"TRUCK, VAN, POWER TAILGATE, SINGLE AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2003,MANITOBA YD. (250 W. 70TH),4396,NULL,94.96444428,10.56415
A1236,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),9451,NULL,35.3675005,6.70805
A1237,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),12699,NULL,63.84499961,17.74113
A1238,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),6411,NULL,96.84888477,14
A1239,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),7756,NULL,51.5433327,8.57806
A1240,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2005,NATIONAL YD. (701 NATIONAL),3998,NULL,257.95528,70.89446
A1243,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),7062,2,452.4097266,124.76694
A1244,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2008,NATIONAL YD. (701 NATIONAL),16742,NULL,196.1405553,54.44974
A1245,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F550,2008,NATIONAL YD. (701 NATIONAL),4785,281,218.6277771,34.88501
A1246,"TRUCK, VAN, POWER TAILGATE, SINGLE AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2008,NATIONAL YD. (701 NATIONAL),8195,558,413.1058274,69.79892
A1247,"CONSTRUCTION, LOADER, SKID STEER",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,BOBCAT,S300,2009,NATIONAL YD. (701 NATIONAL),NULL,707,124.766111,88.80551
A1323,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2004,MANITOBA YD. (250 W. 70TH),18050,NULL,132.5561113,49.43755
A1341,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,E250,2004,MANITOBA YD. (250 W. 70TH),8747,NULL,71.23444343,25.85998
A1342,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2003,MANITOBA YD. (250 W. 70TH),3794,NULL,154.8552773,15.63194
A1346,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2002,MANITOBA YD. (250 W. 70TH),8260,NULL,50.22916645,30.2114
A1348,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2003,MANITOBA YD. (250 W. 70TH),2784,NULL,76.05666685,16.52113
A1375,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,E350,2007,MANITOBA YD. (250 W. 70TH),44606,NULL,381.4413818,63.81917
A1376,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,E350,2010,MANITOBA YD. (250 W. 70TH),13407,NULL,536.1777877,27.14527
A1422,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FORD,F150,2002,SOUTH SIDE TRANSFER STATION,10150,NULL,95.32194404,32.48225
A1423,"TRUCK, SUV, COMPACT, 4X4",light duty,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FORD,ESCAPE,2005,DELTA LANDFILL,7661,NULL,64.44972086,25.92416
A1531,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,PETERBILT,320,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,1017.376113,49.89749
A1532,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,PETERBILT,320,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,267.235277,11.18445
A1533,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,PETERBILT,320,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,561.1080562,23.90056
A1534,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,PETERBILT,320,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,182.9441667,12.93305
A1613,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2004,NATIONAL YD. (701 NATIONAL),8821,NULL,48.81888851,22.58886
A1614,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2003,NATIONAL YD. (701 NATIONAL),6616,NULL,81.28138787,31.55998
A1620,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F150,1999,NATIONAL YD. (701 NATIONAL),4758,NULL,86.48111083,10.97415
A1629,"FORKLIFT, LIGHT",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,CATERPILLAR,GP25,1998,MANITOBA YD. (250 W. 70TH),NULL,263,117.191946,112.7841
A1630,"FORKLIFT, LIGHT",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,CATERPILLAR,GP20,1998,MANITOBA YD. (250 W. 70TH),NULL,220,N/A,N/A
A1633,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,GENERAL MOTORS,2500,2003,NATIONAL YD. (701 NATIONAL),10535,NULL,38.74111211,21.64832
A1645,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2003,NATIONAL YD. (701 NATIONAL),3811,NULL,10.08138883,7.66278
A1648,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2003,NATIONAL YD. (701 NATIONAL),2399,NULL,1131.733323,58.72638
A1650,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2003,NATIONAL YD. (701 NATIONAL),12685,NULL,62.11805612,23.49807
A1651,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),14319,911,325.2691677,36.75359
A1652,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8118,NULL,186.6805563,37.5425
A1704,"TRUCK, AERIAL, 40 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2003,NATIONAL YD. (701 NATIONAL),768,NULL,47.52472186,14.08613
A1708,"TRUCK, AERIAL, 40 FT BOOM, HYBRID ELEC",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106 HYBRID,2010,NATIONAL YD. (701 NATIONAL),3502,NULL,221.5541642,42.41388
A1742,"VAN, AERIAL, 34 FT BOOM",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E350,2005,NATIONAL YD. (701 NATIONAL),NULL,NULL,134.0216666,7.52
A1771,"FORKLIFT, REACH, STAND-UP, ELECTRIC",hvy equip,Corporate Services Group,FINANCE CENTRAL STORES,CROWN,RR5210-35,2004,NATIONAL YD. (701 NATIONAL),NULL,9,204.5094435,6.80444
A1839,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,FREESTAR,2006,MANITOBA YD. (250 W. 70TH),2872,NULL,77.5127762,10.36723
A1840,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,FREESTAR,2006,MANITOBA YD. (250 W. 70TH),9854,NULL,202.5691665,26.83415
A1900,"KNUCKLE BOOM, ELEC, 30 FT",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,GENIELIFT,Z-30/20N,2002,MANITOBA YD. (250 W. 70TH),NULL,0,68.31138839,20.64917
A1901,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),2596,NULL,158.3297224,15.8864
A1904,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),4681,NULL,112.8711117,23.18388
A1921,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FOCUS,2006,EVANS YARD (955 EVANS AVE.),19984,NULL,34.49055481,6.35945
A1922,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),1414,NULL,45.27694392,7.73361
A1923,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,CITY VEH. PRKG. E. WING (10TH),5856,NULL,264.0366671,6.42194
A1924,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3318,NULL,13.75083315,3.91138
A1925,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3937,NULL,51.54666734,12.48639
A1926,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F350,2003,MANITOBA YD. (250 W. 70TH),5452,NULL,67.18944502,29.02
A1928,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),8075,NULL,67.12777823,9.88361
A1977,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F350,2005,MANITOBA YD. (250 W. 70TH),4097,NULL,N/A,N/A
A1993,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F350,2005,MANITOBA YD. (250 W. 70TH),1977,NULL,141.5069455,39.19417
A1996,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,RANGER,2010,MANITOBA YD. (250 W. 70TH),11237,NULL,82.09722185,32.34889
A2108,"ASPHALT, GRINDER, 200HP",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,WIRTGEN,W 100,2008,NATIONAL YD. (701 NATIONAL),NULL,715,859.8108252,305.75941
A2241,"CONSTRUCTION, LOADER, 4-6 YARD, RUBBER",hvy equip,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,KOMATSU,WA480-6,2009,KENT YARD (900 E. KENT),NULL,488,161.5430517,102.61275
A2244,"PAVING, PAVER, TRACK",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,BLAW KNOX,DM5500,1999,NATIONAL YD. (701 NATIONAL),NULL,83,123.2786108,30.92833
A2246,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,STERLING,LT7501,2003,KENT YARD (900 E. KENT),697,NULL,83.38027728,30.60919
A2359,"GENERATOR, TRAILER, EMERGENCY, 35 KW",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,EBI,4U13GENRTR,1990,VARIOUS ON SITE,NULL,0,175.3533325,23.81723
A2361,"GENERATOR, TRAILER, EMERGENCY, 35 KW",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,EBI,4S9GENRTR,1990,MANITOBA YD. (250 W. 70TH),NULL,29,90.71666431,28.5511
A2377,"HYDROJETTER, TRAILER MT",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,TRAILERJET,707,2004,MANITOBA YD. (250 W. 70TH),NULL,33,225.5744429,47.46363
A2378,"HYDROJETTER, TRAILER MT",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,O'BRIEN,3518-SC,2004,MANITOBA YD. (250 W. 70TH),NULL,69,249.7716658,36.71973
A2407,"CONSTRUCTION, EXCAVATOR, TRACK, 3/4 YARD",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,HYUNDAI,160LC,1999,DELTA LANDFILL,NULL,972,N/A,N/A
A2432,"TRAILER, VACUUM, REFUSE, 14HP",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,MADVAC,61,2010,DELTA LANDFILL,NULL,2,2.386944473,1.81084
A2433,"CONSTRUCTION, LOADER, 1.5-3 YARD, RUBBER",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,JOHN DEERE,444K,2010,SOUTH SIDE TRANSFER STATION,NULL,1463,324.8166668,248.49556
A2503,"CART, ELEC, PERSONNEL",light duty,Engineering Services,ENGINEERING YARDS,YAMAHA,G-MAX G-22E,2006,MANITOBA YD. (250 W. 70TH),NULL,0,202.9511116,33.4514
A2509,"CONSTRUCTION, HYDRAULIC  MOBILE CRANE, 12-20T",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,GALION,150F,1982,MANITOBA YD. (250 W. 70TH),NULL,42,124.7005529,22.61138
A2514,"TRUCK, SERVICE, CLASS 5, FOUR WHEEL DRIVE",hvy trk,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F550,2012,DELTA LANDFILL,5273,550,215.7658327,85.10249
A2516,"TRUCK, PICKUP, HEAVY, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F250,2012,DELTA LANDFILL,6952,NULL,21.40999937,18.40833
A2526,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2001,MANITOBA YD. (250 W. 70TH),6692,NULL,200.9422285,31.70695
A2527,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F250,2004,MANITOBA YD. (250 W. 70TH),5676,NULL,N/A,N/A
A5026,"FORKLIFT, LIGHT",hvy equip,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,CATERPILLAR,GP40,1997,NATIONAL YD. (701 NATIONAL),NULL,58,139.4688886,28.93667
A5078,"VAN, 1TON, CUBE BODY",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,E350,2001,CAMBIE ST.STATION(2120 CAMBIE),3189,NULL,173.6986086,6.70778
A5213,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD UNSPECIFIED,FORD,ECONOLINE,2002,FALSE CREEK CC (1318 CARTWRIGHT),219,NULL,288.8447224,13.64028
A5347,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2000,EVANS YARD (955 EVANS AVE.),4238,NULL,117.4574997,20.55612
A5383,"VAN, PANEL, COMPACT",light duty,Vancouver Public Library,LIBRARY,GENERAL MOTORS,ASTRO,2005,VPL CENTRAL (350 W GEORGIA),4511,NULL,49.54833138,9.785
A5401,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,GENERAL MOTORS,UPLANDER,2006,CAMBIE ST.STATION(2120 CAMBIE),2529,NULL,118.0230546,30.5164
A5409,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,FOCUS,2006,MANITOBA YD. (250 W. 70TH),8762,NULL,100.97,30.45942
A5411,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,FOCUS,2006,MANITOBA YD. (250 W. 70TH),7356,NULL,41.80888844,35.8236
A5413,"BUS, 16 PASSENGER",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,AEROTECH,2006,KERRISDALE CC (5851 W.BLVD.),0,NULL,49.15805459,13.2164
A5420,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2007,NATIONAL YD. (701 NATIONAL),7410,NULL,N/A,N/A
A5421,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2007,NATIONAL YD. (701 NATIONAL),11573,NULL,18.34305558,1.82805
A5429,"BUS, 23 PASSENGER OR MORE",hvy trk,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,GENERAL MOTORS,AERO ELITE,2006,KILLARNEY CC (6260 KILLARNEY),792,NULL,470.170281,53.94777
A5471,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,E350,2008,BRITANNIA CC (1060 NAPIER),18,NULL,66.46388841,34.26306
A5472,"CONSTRUCTION, BULLDOZER, 300 HP",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,CATERPILLAR,D8T,2008,SOUTH SIDE TRANSFER STATION,NULL,12,435.9086109,145.37057
A5480,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F150,2008,EVANS YARD (955 EVANS AVE.),10116,NULL,37.36861145,21.88082
A5486,"TRUCK, FLATDECK, LIGHT",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,STERLING,360,2008,EVANS YARD (955 EVANS AVE.),0,NULL,302.2122221,2.8825
A5489,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,STERLING,BULLET,2008,NATIONAL YD. (701 NATIONAL),2676,NULL,311.8997244,17.92803
A5490,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),5348,586,58.11722241,33.50836
A5507,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,E350,2005,MOUNT PLEASANT CC (3161 Ontario),177,NULL,14.93861127,11.23834
A5512,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F450,2011,EVANS YARD (955 EVANS AVE.),5271,NULL,N/A,N/A
A5514,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,GMC,SILVERADO,2013,EVANS YARD (955 EVANS AVE.),7098,NULL,1.388333321,0.53528
A5525,"CONSTRUCTION, LOADER BACKHOE, HEAVY",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,CASE,590SM3+,2009,MANITOBA YD. (250 W. 70TH),NULL,984,199.4619439,149.45611
A5527,"BUS, 16 PASSENGER",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,GMC,SAVANA,2000,DOUGLAS PARK CC (801 W. 22ND),2050,NULL,154.6355555,48.2586
A5534,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,TRANSIT CONNECT,2010,EVANS YARD (955 EVANS AVE.),4646,NULL,37.99194479,6.90028
A5547,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),17428,NULL,42.24833417,23.72637
