,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age,CO2(g/km),Total CO2 Emission (g),CO2(g/hour),Priority Score,Priority rank,Prioritized
24,A1153,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),8201.0,,28.0480555,18.67054,mileage,17,272.7826313892652,2237090.360023364,,0.6318513922403072,219.0,0
25,A1236,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),9451.0,,35.3675005,6.70805,mileage,12,227.7952452558192,2152892.862912747,,0.26496362389184974,438.0,0
26,A1237,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,TRANSIT CONNECT,2013,NATIONAL YD. (701 NATIONAL),12699.0,,63.84499961,17.74113,mileage,12,227.7952452558192,2892771.819503648,,0.28630182040018837,428.0,0
27,A1238,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),6411.0,,96.84888477,14.0,mileage,12,201.69759031652728,1293083.2515192565,,0.08348283509961926,476.0,0
28,A1239,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),7756.0,,51.5433327,8.57806,mileage,12,201.69759031652728,1564366.5104949856,,0.06714659876373702,484.0,0
29,A1613,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2004,NATIONAL YD. (701 NATIONAL),8821.0,,48.81888851,22.58886,mileage,21,272.7826313892652,2406215.591484708,,0.6414206863317999,188.0,0
30,A1614,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2003,NATIONAL YD. (701 NATIONAL),6616.0,,81.28138787,31.55998,mileage,22,272.7826313892652,1804729.8892713783,,0.6605099412497106,123.0,0
31,A1620,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F150,1999,NATIONAL YD. (701 NATIONAL),4758.0,,86.48111083,10.97415,mileage,26,272.7826313892652,1297899.760150124,,0.631595544484899,221.0,0
32,A1633,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,GM,2500,2003,NATIONAL YD. (701 NATIONAL),10535.0,,38.74111211,21.64832,mileage,22,272.7826313892652,2873765.021685909,,0.6381723210054863,202.0,0
33,A1645,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2003,NATIONAL YD. (701 NATIONAL),3811.0,,10.08138883,7.66278,mileage,22,272.7826313892652,1039574.6082244896,,0.6125137830078023,322.0,0
34,A1650,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2003,NATIONAL YD. (701 NATIONAL),12685.0,,62.11805612,23.49807,mileage,22,272.7826313892652,3460247.679172829,,0.6452254476669472,171.0,0
35,A1651,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),14319.0,911.0,325.2691677,36.75359,mileage,17,272.7826313892652,3905974.498862888,,0.7136361893712404,31.0,1
36,A1652,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8118.0,,186.6805563,37.5425,mileage,17,272.7826313892652,2214449.4016180546,,0.6888878139266782,57.0,1
37,A1901,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),2596.0,,158.3297224,15.8864,mileage,17,272.7826313892652,708143.7110865325,,0.6521510939150176,151.0,0
38,A1904,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,E250,2008,MANITOBA YD. (250 W. 70TH),4681.0,,112.8711117,23.18388,mileage,17,272.7826313892652,1276895.4975331505,,0.6542519419221382,143.0,0
39,A1921,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FOCUS,2006,EVANS YARD (955 EVANS AVE.),19984.0,,34.49055481,6.35945,mileage,19,272.7826313892652,5451288.105683075,,0.6151822192639332,304.0,0
40,A1922,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),1414.0,,45.27694392,7.73361,mileage,19,272.7826313892652,385714.640784421,,0.6191924975662203,285.0,0
41,A1923,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,CITY VEH. PRKG. E. WING (10TH),5856.0,,264.0366671,6.42194,mileage,19,272.7826313892652,1597415.089415537,,0.658160997706793,129.0,0
42,A1924,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3318.0,,13.75083315,3.91138,mileage,19,272.7826313892652,905092.770949582,,0.6077532038792872,339.0,0
43,A1925,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,FREESTAR,2006,400 BLOCK W. 10TH (CITY HALL),3937.0,,51.54666734,12.48639,mileage,19,272.7826313892652,1073945.219779537,,0.6272638703142052,239.0,0
44,A1993,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F350,2005,MANITOBA YD. (250 W. 70TH),1977.0,,141.5069455,39.19417,mileage,20,272.7826313892652,539291.2622565773,,0.6828454892195333,68.0,1
45,A1996,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,RANGER,2010,MANITOBA YD. (250 W. 70TH),11237.0,,82.09722185,32.34889,mileage,15,260.97654939291886,2932593.4855282293,,0.5697236804484986,354.0,0
46,A2526,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2001,MANITOBA YD. (250 W. 70TH),6692.0,,200.9422285,31.70695,mileage,24,272.7826313892652,1825461.3692569623,,0.6830805630872924,67.0,1
47,A5078,"VAN, 1TON, CUBE BODY",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,E350,2001,CAMBIE ST.STATION(2120 CAMBIE),3189.0,,173.6986086,6.70778,mileage,24,272.7826313892652,869903.8115003667,,0.6416973421506597,187.0,0
48,A5213,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD UNSPECIFIED,FORD,ECONOLINE,2002,FALSE CREEK CC (1318 CARTWRIGHT),219.0,,288.8447224,13.64028,mileage,23,272.7826313892652,59739.39627424908,,0.673275472887552,85.0,0
49,A5347,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2000,EVANS YARD (955 EVANS AVE.),4238.0,,117.4574997,20.55612,mileage,25,272.7826313892652,1156052.791827706,,0.6512939508564645,156.0,0
50,A5383,"VAN, PANEL, COMPACT",light duty,Vancouver Public Library,LIBRARY,GM,ASTRO,2005,VPL CENTRAL (350 W GEORGIA),4511.0,,49.54833138,9.785,mileage,20,272.7826313892652,1230522.4501969754,,0.6229687052506628,267.0,0
51,A5401,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,GM,UPLANDER,2006,CAMBIE ST.STATION(2120 CAMBIE),2529.0,,118.0230546,30.5164,mileage,19,272.7826313892652,689867.2747834517,,0.6658596612147468,101.0,0
52,A5421,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2007,NATIONAL YD. (701 NATIONAL),11573.0,,18.34305558,1.82805,mileage,18,272.7826313892652,3156913.393067966,,0.6055866904455927,344.0,0
53,A5480,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F150,2008,EVANS YARD (955 EVANS AVE.),10116.0,,37.36861145,21.88082,mileage,17,272.7826313892652,2759469.099133807,,0.6382534216986175,199.0,0
54,A5514,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,GM,SILVERADO,2013,EVANS YARD (955 EVANS AVE.),7098.0,,1.388333321,0.53528,mileage,12,224.4398324779102,1593073.9309282063,,0.2234823156598374,458.0,0
55,A5534,"VAN, MINI, CARGO",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,TRANSIT CONNECT,2010,EVANS YARD (955 EVANS AVE.),4646.0,,37.99194479,6.90028,mileage,15,260.97654939291886,1212497.048479501,,0.5245375685061002,368.0,0
56,A5547,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),17428.0,,42.24833417,23.72637,mileage,15,260.97654939291886,4548299.302819789,,0.5497604508983893,361.0,0
57,A5548,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),6427.0,,35.4425,5.71167,mileage,17,272.7826313892652,1753173.9719388073,,0.614419651260072,310.0,0
58,A5549,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),4795.0,,37.17722243,15.73889,mileage,15,260.97654939291886,1251382.554339046,,0.5372169822266931,363.0,0
59,A5550,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,MANITOBA YD. (250 W. 70TH),6730.0,,50.62527749,15.65249,mileage,15,260.97654939291886,1756372.177414344,,0.5396041640222806,362.0,0
60,A5551,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2010,NATIONAL YD. (701 NATIONAL),11504.0,,132.7355556,3.15835,mileage,15,260.97654939291886,3002274.2242161385,,0.5368069006783411,364.0,0
61,A5626,"VAN, PANEL, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,TRANSIT CONNECT,2011,STANLEY PARK SERVICE YD.,12481.0,,17.01861129,14.10304,mileage,14,249.91611468055228,3119203.027327973,,0.44480752341819924,384.0,0
62,A5632,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,TRANSIT CONNECT,2012,MANITOBA YD. (250 W. 70TH),12599.0,,13.10722229,7.06972,mileage,13,238.8556799681857,3009342.711919172,,0.34759778271368996,418.0,0
63,A5634,"AUTO, PASSENGER, COMPACT WAGON",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,FOCUS,2013,EVANS YARD (955 EVANS AVE.),15822.0,,1.455555558,1.19528,mileage,12,227.7952452558192,3604176.370437571,,0.25062428798369796,451.0,0
64,A7530,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),10910.0,,142.638334,21.79416,mileage,22,272.7826313892652,2976058.508456883,,0.6577960510509009,132.0,0
65,A7533,"TRUCK, PICKUP, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),9596.0,,360.9555483,8.30806,mileage,22,272.7826313892652,2617622.1308113886,,0.6790073924199977,74.0,1
66,A7540,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2000,STANLEY PARK SERVICE YD - DOWNTOWN,6592.0,,18.75638902,15.90499,mileage,25,272.7826313892652,1798183.1061180362,,0.6261004064424107,247.0,0
67,A7541,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F250,2003,STANLEY PARK SERVICE YD - DOWNTOWN,4852.0,,131.8094416,15.08113,mileage,22,272.7826313892652,1323541.3275007147,,0.6460270163272943,170.0,0
68,A7568,"VAN, PANEL, COMPACT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,GM,ASTRO,2005,STANLEY PARK SERVICE YD.,25376.0,,253.3408344,39.35055,mileage,20,272.7826313892652,6922132.054133994,,0.7039673960946133,37.0,1
69,A7583,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F150,2005,STANLEY PARK SERVICE YD.,7128.0,,165.6088918,23.4347,mileage,20,272.7826313892652,1944394.5965426825,,0.664469524158536,109.0,0
70,A7585,"AUTO, PASSENGER, MICRO COMPACT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,SMART,FORTWO COUPE,2005,STANLEY PARK ADMIN(2099 BEACH),3970.0,,15.45472229,7.06862,mileage,20,272.7826313892652,1082947.046615383,,0.6126551446178471,321.0,0
71,A7620,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),5888.0,,25.07305634,1.00028,mileage,22,272.7826313892652,1606144.1336199937,,0.6056423816153561,342.0,0
72,A7629,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4422.0,,25.24888873,1.9189,mileage,22,272.7826313892652,1206244.7960033307,,0.6070088595031154,340.0,0
73,A7630,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7570.0,,50.47583348,7.65668,mileage,22,272.7826313892652,2064964.5196167373,,0.6200521657070672,281.0,0
74,A7646,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),3028.0,,66.73000032,5.3139,mileage,22,272.7826313892652,825985.807846695,,0.6196878908637594,283.0,0
75,A7647,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),4295.0,,155.6419411,48.24028,mileage,22,272.7826313892652,1171601.401816894,,0.6986193286346407,43.0,1
76,A7648,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),10313.0,,127.0805552,18.44804,mileage,22,272.7826313892652,2813207.277517492,,0.6500314595331427,159.0,0
77,A7649,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),7444.0,,204.3302866,16.94862,mileage,22,272.7826313892652,2030593.9080616904,,0.6622878714287647,117.0,0
78,A7651,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),11739.0,,64.70888877,21.70666,mileage,22,272.7826313892652,3202195.309878584,,0.643108798426593,178.0,0
79,A8480,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,TAURUS SE,2003,MANITOBA YD. (250 W. 70TH),3525.0,,99.09167147,6.53611,mileage,22,272.7826313892652,961558.7756471598,,0.6275086665007797,237.0,0
80,A8484,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,TAURUS SE,2004,MANITOBA YD. (250 W. 70TH),6597.0,,303.3752746,14.08805,mileage,21,272.7826313892652,1799547.0192749824,,0.6766403992213165,77.0,0
81,B0010,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,CITY CARPOOL PROGRAM,DODGE,GRAND CARAVAN,2014,MANITOBA YD. (250 W. 70TH),14536.0,,417.7058345,5.91389,mileage,11,195.8566865920191,2846972.7963015893,,0.08613474633278792,474.0,0
82,B0138,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,SMART,FORTWO COUPE,2005,NATIONAL YD. (701 NATIONAL),3071.0,,431.5847301,19.79304,mileage,20,272.7826313892652,837715.4609964334,,0.7088772023849234,34.0,1
83,B0140,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1214.0,,3.531666756,0.29139,mileage,12,206.1714740204059,250292.1694607728,,0.08104081687433516,479.0,0
84,B0141,"AUTO, PASSENGER, MID-SIZE",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FUSION,2006,NATIONAL YD. (701 NATIONAL),5398.0,,60.87638831,9.01139,mileage,19,272.7826313892652,1472480.6442392536,,0.6239621183605673,258.0,0
85,B0142,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING ELECTRICAL DESIGN,MERCEDES,SMARTC,2008,NATIONAL YD. (701 NATIONAL),1953.0,,6.878888845,2.49389,mileage,17,272.7826313892652,532744.479103235,,0.6044113894493289,347.0,0
86,B0150,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2004,CROSSROADS (507 W. BROADWAY),5075.0,,11.22361088,6.70251,mileage,21,272.7826313892652,1384371.8543005208,,0.6113331022182349,328.0,0
87,B0171,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),10509.0,,334.2855545,18.7236,mileage,17,272.7826313892652,2866672.673269788,,0.6891453861420331,56.0,1
88,B0194,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),2312.0,,24.48750043,8.23527,mileage,17,272.7826313892652,630673.4437719812,,0.6160365238880682,302.0,0
89,B0203,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),2899.0,,31.07444435,6.5,mileage,23,272.7826313892652,790796.8483974797,,0.6147480045959854,308.0,0
90,B0210,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,MITSUBISHI,I MIEV,2012,MANITOBA YD. (250 W. 70TH),19.0,,58.7430563,5.05445,mileage,13,224.4398324779102,4264.356817080294,,0.24075918627179513,452.0,0
91,B0220,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,NATIONAL YD. (701 NATIONAL),3748.0,,28.1297226,4.20583,mileage,23,272.7826313892652,1022389.302446966,,0.6108672082808597,332.0,0
92,B0233,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MITSUBISHI,I MIEV,2013,400 BLOCK W. 10TH (CITY HALL),10534.0,,45.96083242,4.97111,mileage,12,206.1714740204059,2171810.307330956,,0.09576210014632494,472.0,0
93,B0263,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING SOLID WASTE MNGMNT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),11394.0,,66.03388861,8.40834,mileage,23,272.7826313892652,3108085.302049288,,0.6240502477793728,257.0,0
